Company Name,Ticker,Market Cap (mil),Optionable,Div. Yield %,Next EPS Report Date  (yyyymmdd)
"Brixmor Property Group","BRX","6339.58","YES","4.93","20240212"
"Braze","BRZE","4216.67","YES","0","20231212"
"Banco Santander Chile","BSAC","8305.76","YES","5.39","20240202"
"Black Stone Minerals","BSM","4064.65","YES","10.5","20240220"
"Boston Scientific","BSX","75641.77","YES","0","20240207"
"Bentley Systems","BSY","13607.16","YES",".42","20231107"
"Baytex Energy","BTE","3685.77","YES","1.53","20231102"
"B2Gold Corp","BTG","4161.21","YES","5","20231108"
"Peabody Energy","BTU","3098.22","YES","1.29","20240213"
"AnheuserBusch InBev","BUD","98672.8","YES","1.07","20240307"
"Burlington Stores","BURL","7689.92","YES","0","20231128"
"BorgWarner","BWA","8723.19","YES","1.19","20231102"
"BWX Technologies","BWXT","6821.55","YES","1.23","20240222"
"The Blackstone Group","BX","67248.78","YES","3.38","20240125"
"Blackstone Mortgage Trust","BXMT","3478.69","YES","12.28","20240214"
"Boston Properties","BXP","8392.25","YES","7.33","20240130"
"Blackstone Secured Lending Fund","BXSL","4571.22","YES","11.16","20231108"
"Boyd Gaming","BYD","5477.66","YES","1.17","20240201"
"Kanzhun","BZ","5471.31","YES","0","20231205"
"Citigroup","C","77091.37","YES","5.35","20240112"
"Credit Acceptance","CACC","5220.44","YES","0","20240130"
"CACI International","CACI","7221.87","YES","0","20240124"
"Cadence Bank","CADE","3911.94","YES","4.39","20240129"
"CAE","CAE","6632.76","YES","0","20231109"
"Conagra Brands","CAG","12895.57","YES","5.19","20240104"
"Cardinal Health","CAH","23053.81","YES","2.14","20231103"
"CalMaine Foods","CALM","2342.35","YES",".05","20231227"
"Calix","CALX","2240.6","YES","0","20240124"
"Camtek","CAMT","2379.71","YES","0","20231114"
"Avis Budget Group","CAR","6353.19","YES","0","20240212"
"Carrier Global","CARR","41667.05","YES","1.49","20240206"
"Maplebear Inc.","CART","6925.3","YES","0","20231108"
"Casey's General Stores","CASY","10069.82","YES",".64","20231205"
"Caterpillar","CAT","118256.48","YES","2.24","20240130"
"Cathay General Bancorp","CATY","2497.63","YES","3.95","20240124"
"CAVA Group, Inc.","CAVA","3628.99","YES","0","20231107"
"Chubb Limited","CB","90489.02","YES","1.56","20240130"
"Cboe Global Markets","CBOE","17482.03","YES","1.33","20231103"
"CBRE Group","CBRE","21393.41","YES","0","20240222"
"Commerce Bancshares","CBSH","5414.47","YES","2.49","20240118"
